Name,Location,Rating,Price (Veg),Capacity,Rooms,More,URL,Extra Info
Riddhi Siddhi Marriage Hall,"Nizampura,, ,, Vadodara, Price on Request",,"Nizampura,,VadodaraPrice on Request",350-500 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Riddhi-Siddhi-Marriage-Hall-729947,"No Reviews Nizampura, Vadodara Banquet Halls, Convention / Function Halls Price on Request Indoor"
Food Plaza Banquet Hall,"Makarpura,, ,, Vadodara, ₹, 230",,"Makarpura,,Vadodara₹230",190-300 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Food-Plaza-Banquet-Hall-911707,"No Reviews Makarpura, Vadodara Banquet Halls Veg ₹ 230 per plate Indoor"
The Grand Mahi Party & Wedding Lawn,"Vadodara, ₹, 450, ₹, 550",,Vadodara₹450₹550,100-2000 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/The-Grand-Mahi-Party-and-Wedding-Lawn-972733,"No Reviews Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 450 per plate Non veg ₹ 550 per plate IndoorOutdoor"
Laxminarayan Club and Resort,"Tandalja,, ,, Vadodara, ₹, 900",,"Tandalja,,Vadodara₹900",300-800 pax,50 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Laxminarayan-Club-and-Resort-2105942,"No Reviews Tandalja, Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 900 per plate"
JK Party Plot,"Vadodara, ₹, 25,000",,"Vadodara₹25,000",200-1500 pax,2 Rooms,+4 more,https://www.wedmegood.com/wedding-venues/JK-Party-Plot-25079722,"No Reviews Vadodara Banquet Halls, Marriage Garden / Lawns Rental cost ₹ 25,000 per function"
"Hotel Savshanti Towers, Alkapuri","Jetalpur,, ,, Vadodara, ₹, 400, ₹, 450",,"Jetalpur,,Vadodara₹400₹450",100-150 pax,44 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Hotel-Savshanti-Towers-Alkapuri-913469,"No Reviews Jetalpur, Vadodara Banquet Halls, 3 Star Hotels with Banquets Veg ₹ 400 per plate Non veg ₹ 450 per plate"
Ornate Restaurant and Banquet,"Danteshwar,, ,, Vadodara, Price on Request",,"Danteshwar,,VadodaraPrice on Request",250-600 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Ornate-Restaurant-and-Banquet-913252,"No Reviews Danteshwar, Vadodara Banquet Halls, Convention / Function Halls Price on Request Indoor"
Hotel Vintage,"Jetalpur,, ,, Vadodara, ₹, 500",,"Jetalpur,,Vadodara₹500",100-150 pax,32 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Hotel-Vintage-911850,"No Reviews Jetalpur, Vadodara Banquet Halls, 3 Star Hotels with Banquets Veg ₹ 500 per plate"
Shagun Hall,"Vadodara, Price on Request",,VadodaraPrice on Request,150-250 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Shagun-Hall-2368895,No Reviews Vadodara Banquet Halls Price on Request Indoor
Naram Garam Restaurant & Banquet,"Vadodara, Price on Request",,VadodaraPrice on Request,60-80 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Naram-Garam-Restaurant-and-Banquet-3340123,No Reviews Vadodara Banquet Halls Price on Request Indoor
