Name,Location,Rating,Price (Veg),Capacity,Rooms,More,URL,Extra Info
Rudra Cafe & Restaurant,"Waghodia,, ,, Vadodara, ₹, 400",,"Waghodia,,Vadodara₹400",250-350 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Rudra-Cafe-and-Restaurant-911889,"No Reviews Waghodia, Vadodara Banquet Halls Veg ₹ 400 per plate Indoor"
Hotel Express Towers,"Vadiwadi,, ,, Vadodara, ₹, 500, ₹, 600",,"Vadiwadi,,Vadodara₹500₹600",15-180 pax,63 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Hotel-Express-Towers-593474,"No Reviews Vadiwadi, Vadodara Banquet Halls, 3 Star Hotels with Banquets Veg ₹ 500 per plate Non veg ₹ 600 per plate"
Umakant Community Hall,"Makarpura,, ,, Vadodara, ₹, 400",,"Makarpura,,Vadodara₹400",200-600 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Umakant-Community-Hall-1012404,"No Reviews Makarpura, Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 400 per plate IndoorOutdoor"
Dilly's Veg Kitchen,"Vadodara, ₹, 399",,Vadodara₹399,85-120 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Dillys-Veg-Kitchen-4606126,No Reviews Vadodara Banquet Halls Veg ₹ 399 per plate Indoor
Anavil Bhavan,"Vadodara, ₹, 250",,Vadodara₹250,200-500 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Anavil-Bhavan-1012435,"No Reviews Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 250 per plate IndoorOutdoor"
Hotel Sahyog,"Sayajiganj,, ,, Vadodara, Price on Request",,"Sayajiganj,,VadodaraPrice on Request",400-500 pax,"Banquet Halls, Venues With Rooms",+3 more,https://www.wedmegood.com/wedding-venues/Hotel-Sahyog-2345336,"No Reviews Sayajiganj, Vadodara Price on Request 8 Rooms"
Spice Nation,"Vadodara, ₹, 300",,Vadodara₹300,80-300 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Spice-Nation-911907,No Reviews Vadodara Banquet Halls Veg ₹ 300 per plate Indoor
Hotel Labh Regency,"Tandalja,, ,, Vadodara, ₹, 450, ₹, 550",,"Tandalja,,Vadodara₹450₹550",50-150 pax,20 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Hotel-Labh-Regency-911073,"No Reviews Tandalja, Vadodara Banquet Halls, 3 Star Hotels with Banquets Veg ₹ 450 per plate Non veg ₹ 550 per plate"
Status Restaurant & Banquets,"Vadiwadi,, ,, Vadodara, ₹, 700",,"Vadiwadi,,Vadodara₹700",250-350 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Status-Restaurant-and-Banquets-911254,"No Reviews Vadiwadi, Vadodara Banquet Halls Veg ₹ 700 per plate Indoor"
Flavor The Restaurant,"Tarsali,, ,, Vadodara, ₹, 300, ₹, 500",,"Tarsali,,Vadodara₹300₹500",150-250 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Flavor-The-Restaurant-911130,"No Reviews Tarsali, Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 300 per plate Non veg ₹ 500 per plate OutdoorIndoor"
Nirvana Resort,"Vadodara, ₹, 3,00,000",,"Vadodara₹3,00,000",150-400 pax,24 Rooms,+4 more,https://www.wedmegood.com/wedding-venues/Nirvana-Resort-4565199,"No Reviews Vadodara Banquet Halls, Marriage Garden / Lawns Rental cost ₹ 3,00,000 per function"
Upendra Acharya Party Plot,"Karelibagh,, ,, Vadodara, Price on Request",,"Karelibagh,,VadodaraPrice on Request",500-800 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Upendra-Acharya-Party-Plot-2313085,"No Reviews Karelibagh, Vadodara Banquet Halls, Marriage Garden / Lawns Price on Request IndoorOutdoor"
Ajwa Green Resort,"Vadodara, ₹, 400",,Vadodara₹400,100-3000 pax,28 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Ajwa-Green-Resort-913680,"No Reviews Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 400 per plate"
The Aditya Royal Banquet & Party Plot,"Kendranagar,, ,, Vadodara, ₹, 600",,"Kendranagar,,Vadodara₹600",400-1400 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/The-Aditya-Royal-Banquet-and-Party-Plot-1240981,"No Reviews Kendranagar, Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 600 per plate IndoorOutdoor"
President Hotel,"Sayajiganj,, ,, Vadodara, ₹, 400, ₹, 500",,"Sayajiganj,,Vadodara₹400₹500",60-100 pax,18 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/President-Hotel-1241053,"No Reviews Sayajiganj, Vadodara Banquet Halls, 3 Star Hotels with Banquets Veg ₹ 400 per plate Non veg ₹ 500 per plate"
Hotel Ace Grand,"Vadodara, ₹, 300, ₹, 400",,Vadodara₹300₹400,150-250 pax,70 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/hotel-ace-grand-24446520,"No Reviews Vadodara Banquet Halls, 3 Star Hotels with Banquets Veg ₹ 300 per plate Non veg ₹ 400 per plate"
Baroda Banquets,"Sayaji Park Society,, ,, Vadodara, ₹, 450, ₹, 550",,"Sayaji Park Society,,Vadodara₹450₹550",250-350 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Baroda-Banquets-994802,"No Reviews Sayaji Park Society, Vadodara Banquet Halls Veg ₹ 450 per plate Non veg ₹ 550 per plate Indoor"
Sovereign Restaurant,"Chhani,, ,, Vadodara, ₹, 350",,"Chhani,,Vadodara₹350",250-350 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Sovereign-Restaurant-911912,"No Reviews Chhani, Vadodara Banquet Halls Veg ₹ 350 per plate Indoor"
Celebration Hall,"Vadiwadi,, ,, Vadodara, ₹, 550",,"Vadiwadi,,Vadodara₹550",250-400 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Celebration-Hall-994850,"No Reviews Vadiwadi, Vadodara Banquet Halls Veg ₹ 550 per plate Indoor"
Nakshatra Banquets And Conventions,"Karelibagh,, ,, Vadodara, ₹, 400",,"Karelibagh,,Vadodara₹400",550-2000 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Nakshatra-Banquets-And-Conventions-701334,"No Reviews Karelibagh, Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 400 per plate IndoorOutdoor"
Pancham Party Plot,"Kendranagar,, ,, Vadodara, ₹, 4,50,000",,"Kendranagar,,Vadodara₹4,50,000",500-2000 pax,N/A,+3 more,https://www.wedmegood.com/wedding-venues/Pancham-Party-Plot-594914,"No Reviews Kendranagar, Vadodara Banquet Halls, Marriage Garden / Lawns Rental cost ₹ 4,50,000 per function IndoorOutdoor"
Hotel PM Regency,"Sayajiganj,, ,, Vadodara, ₹, 350",,"Sayajiganj,,Vadodara₹350",120-200 pax,42 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Hotel-PM-Regency-988843,"No Reviews Sayajiganj, Vadodara Banquet Halls, 3 Star Hotels with Banquets Veg ₹ 350 per plate"
Shivam Party Plot,"Gotri,, ,, Vadodara, ₹, 500",,"Gotri,,Vadodara₹500",250-1500 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Shivam-Party-Plot-701336,"No Reviews Gotri, Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 500 per plate IndoorOutdoor"
Dwarkesh Farm,"Tarsali,, ,, Vadodara, ₹, 250",,"Tarsali,,Vadodara₹250",400-2500 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Dwarkesh-Farm-719648,"No Reviews Tarsali, Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 250 per plate IndoorOutdoor"
Delicacy Restaurant and Banquet,"Diwalipura,, ,, Vadodara, ₹, 400",,"Diwalipura,,Vadodara₹400",200-300 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Delicacy-Restaurant-and-Banquet-911971,"No Reviews Diwalipura, Vadodara Banquet Halls Veg ₹ 400 per plate Indoor"
Vivaah Party Lawns & Banquet,"Sevasi,, ,, Vadodara, ₹, 600",,"Sevasi,,Vadodara₹600",800-1200 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Vivaah-Party-Lawns-and-Banquet-912991,"No Reviews Sevasi, Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 600 per plate OutdoorIndoor"
Tansha Comfort Regency,"Akota,, ,, Vadodara, ₹, 499",,"Akota,,Vadodara₹499",150-250 pax,55 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Tansha-Comfort-Regency-971016,"No Reviews Akota, Vadodara Banquet Halls, 3 Star Hotels with Banquets Veg ₹ 499 per plate"
Ganesh Hall,"Manjalpur,, ,, Vadodara, ₹, 300",,"Manjalpur,,Vadodara₹300",400-1500 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Ganesh-Hall-913626,"No Reviews Manjalpur, Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 300 per plate IndoorOutdoor"
Joravar Estates Party Plot,"Kendranagar,, ,, Vadodara, ₹, 400",,"Kendranagar,,Vadodara₹400",200-2500 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Joravar-Estates-Party-Plot-913350,"No Reviews Kendranagar, Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 400 per plate IndoorOutdoor"
Best Western Alkapuri,"Vadiwadi,, ,, Vadodara, ₹, 425, ₹, 525",,"Vadiwadi,,Vadodara₹425₹525",60-80 pax,72 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Best-Western-Alkapuri-594255,"No Reviews Vadiwadi, Vadodara Banquet Halls, 3 Star Hotels with Banquets Veg ₹ 425 per plate Non veg ₹ 525 per plate"
Gopi Lawns,"Vadodara, ₹, 1,50,000",,"Vadodara₹1,50,000",140-700 pax,2 Rooms,+4 more,https://www.wedmegood.com/wedding-venues/Gopi-Lawns-25079520,"No Reviews Vadodara Banquet Halls, Marriage Garden / Lawns Rental cost ₹ 1,50,000 per function"
LVP Banquets & Conventions,"Kevdabaug,, ,, Vadodara, ₹, 1,000, ₹, 1,100",,"Kevdabaug,,Vadodara₹1,000₹1,100",N/A,N/A,+1 more,https://www.wedmegood.com/wedding-venues/LVP-Banquets-and-Conventions-585241,"No Reviews Kevdabaug, Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 1,000 per plate Non veg ₹ 1,100 per plate IndoorOutdoorPoolside Inhouse catering only"
Shukan Banquet Hall,"Vemali,, ,, Vadodara, Price on Request",,"Vemali,,VadodaraPrice on Request",400-450 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Shukan-Banquet-Hall-2315958,"No Reviews Vemali, Vadodara Banquet Halls Price on Request Indoor"
Swami Sarvanand Hall,"Vadodara, ₹, 500",,Vadodara₹500,250-400 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Swami-Sarvanand-Hall-911519,No Reviews Vadodara Banquet Halls Veg ₹ 500 per plate Indoor
Yahvi Hotels,"Vadodara, ₹, 1,000, ₹, 1,200",,"Vadodara₹1,000₹1,200",400-600 pax,25 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Yahvi-Hotels-3208178,"No Reviews Vadodara Banquet Halls, 3 Star Hotels with Banquets Veg ₹ 1,000 per plate Non veg ₹ 1,200 per plate"
Blue Lagoon,"Fatehgunj,, ,, Vadodara, ₹, 315",,"Fatehgunj,,Vadodara₹315",90-120 pax,34 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Blue-Lagoon-996994,"No Reviews Fatehgunj, Vadodara Banquet Halls, 3 Star Hotels with Banquets Veg ₹ 315 per plate"
Hotel Legend,"Sayajiganj,, ,, Vadodara, ₹, 250",,"Sayajiganj,,Vadodara₹250",200-350 pax,16 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Hotel-Legend-116371,"No Reviews Sayajiganj, Vadodara Banquet Halls, 3 Star Hotels with Banquets Veg ₹ 250 per plate"
Greenleaf Restaurant and Lawns,"Babajipura,, ,, Vadodara, ₹, 400",,"Babajipura,,Vadodara₹400",70-200 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Greenleaf-Restaurant-and-Lawns-971140,"No Reviews Babajipura, Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 400 per plate IndoorOutdoor"
Gayatri Party Plot,"Gotri,, ,, Vadodara, ₹, 450",,"Gotri,,Vadodara₹450",400-1500 pax,N/A,+3 more,https://www.wedmegood.com/wedding-venues/Gayatri-Party-Plot-729940,"No Reviews Gotri, Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 450 per plate Indoor"
Ajanta Marriage Hall,"Hari Nagar,, ,, Vadodara, ₹, 400",,"Hari Nagar,,Vadodara₹400",400-600 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Ajanta-Marriage-Hall-1259711,"No Reviews Hari Nagar, Vadodara Banquet Halls, Convention / Function Halls Veg ₹ 400 per plate Indoor"
Swagatam Party Lawns & Banquet Hall,"Chhani,, ,, Vadodara, ₹, 300",,"Chhani,,Vadodara₹300",1000-1500 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Swagatam-Party-Lawns-and-Banquet-Hall-719650,"No Reviews Chhani, Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 300 per plate IndoorOutdoor"
Shreeji Party Plot,"Sayaji Park Society,, ,, Vadodara, Price on Request",,"Sayaji Park Society,,VadodaraPrice on Request",500-1000 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Shreeji-Party-Plot-2330326,"No Reviews Sayaji Park Society, Vadodara Banquet Halls, Marriage Garden / Lawns Price on Request IndoorOutdoor"
Dalia Wadi Nirant Bhavan,"Moghul Wada,, ,, Vadodara, ₹, 350",,"Moghul Wada,,Vadodara₹350",150-450 pax,10 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Dalia-Wadi-Nirant-Bhavan-913658,"No Reviews Moghul Wada, Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 350 per plate"
Orizon Restaurant,"Padra Road,, ,, Vadodara, ₹, 250",,"Padra Road,,Vadodara₹250",120-200 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Orizon-Restaurant-970936,"No Reviews Padra Road, Vadodara Party Restaurants / Lounge Bars, Banquet Halls Veg ₹ 250 per plate Indoor"
Hotel Midtown,"Fatehgunj,, ,, Vadodara, ₹, 400, ₹, 600",,"Fatehgunj,,Vadodara₹400₹600",200-250 pax,20 Rooms,+4 more,https://www.wedmegood.com/wedding-venues/Hotel-Midtown-911297,"No Reviews Fatehgunj, Vadodara Banquet Halls, 3 Star Hotels with Banquets Veg ₹ 400 per plate Non veg ₹ 600 per plate"
Appusone Banquets,"Padra Road,, ,, Vadodara, ₹, 300, ₹, 400",,"Padra Road,,Vadodara₹300₹400",150-700 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Appusone-Banquets-706201,"No Reviews Padra Road, Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 300 per plate Non veg ₹ 400 per plate IndoorOutdoor"
Presidency Sports Club,"Vadodara, Price on Request",,VadodaraPrice on Request,30-500 pax,10 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Presidency-Sports-Club-3404687,"No Reviews Vadodara Banquet Halls, Marriage Garden / Lawns Price on Request"
Grand Tulip Banquet & Lawn,"Vadodara, ₹, 350",,Vadodara₹350,1000-2000 pax,23 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Grand-Tulip-Banquet-and-Lawn-332916,"No Reviews Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 350 per plate"
Kalash Banquet,"Vadodara, Price on Request",,VadodaraPrice on Request,300-400 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Kalash-Banquet-1259717,No Reviews Vadodara Banquet Halls Price on Request Indoor
The Grand Thakar,"Vadiwadi,, ,, Vadodara, ₹, 375",,"Vadiwadi,,Vadodara₹375",300-400 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/The-Grand-Thakar-971023,"No Reviews Vadiwadi, Vadodara Banquet Halls Veg ₹ 375 per plate Indoor"
Rushi Mandap Marriage Hall,"Karelibagh,, ,, Vadodara, ₹, 350",,"Karelibagh,,Vadodara₹350",250-400 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Rushi-Mandap-Marriage-Hall-911336,"No Reviews Karelibagh, Vadodara Banquet Halls Veg ₹ 350 per plate Indoor"
Rudraksh Party Plot,"Vadodara, ₹, 600",,Vadodara₹600,2000-3000 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Rudraksh-Party-Plot-969163,"No Reviews Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 600 per plate OutdoorIndoor"
Lilleria Banquet And Gardens,"Vemali,, ,, Vadodara, ₹, 335",,"Vemali,,Vadodara₹335",700-2500 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Lilleria-Banquet-And-Gardens-729915,"No Reviews Vemali, Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 335 per plate IndoorOutdoor"
Amrutvadi,"Akota,, ,, Vadodara, ₹, 400, ₹, 500",,"Akota,,Vadodara₹400₹500",100-150 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Amrutvadi-1268976,"No Reviews Akota, Vadodara Banquet Halls, Small Function / Party Halls Veg ₹ 400 per plate Non veg ₹ 500 per plate Indoor"
The Pride Biznotel,"Sayajiganj,, ,, Vadodara, ₹, 550, ₹, 850",,"Sayajiganj,,Vadodara₹550₹850",50-100 pax,73 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/The-Pride-Biznotel-725320,"No Reviews Sayajiganj, Vadodara Banquet Halls, 3 Star Hotels with Banquets Veg ₹ 550 per plate Non veg ₹ 850 per plate"
The Highway Eats,"Vadodara, ₹, 429",,Vadodara₹429,150-2000 pax,11 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/The-Highway-Eats-25080163,"No Reviews Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 429 per plate"
KK's Restaurant & Banquet,"Subhanpura,, ,, Vadodara, ₹, 300",,"Subhanpura,,Vadodara₹300",150-250 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/KKs-Restaurant-and-Banquet-913052,"No Reviews Subhanpura, Vadodara Banquet Halls Veg ₹ 300 per plate Indoor"
Hotel Palmview Residency,"Jetalpur,, ,, Vadodara, ₹, 350",,"Jetalpur,,Vadodara₹350",60-100 pax,24 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Hotel-Palmview-Residency-974828,"No Reviews Jetalpur, Vadodara Banquet Halls, 3 Star Hotels with Banquets Veg ₹ 350 per plate"
Hotel Orbit,"Sayajiganj,, ,, Vadodara, Price on Request",,"Sayajiganj,,VadodaraPrice on Request",80-120 pax,35 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Hotel-Orbit-2350634,"No Reviews Sayajiganj, Vadodara Banquet Halls, 3 Star Hotels with Banquets Price on Request"
Kamdhenu Resort,"Vadodara, ₹, 675, ₹, 875",,Vadodara₹675₹875,150-650 pax,22 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Kamdhenu-Resort-743720,"No Reviews Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 675 per plate Non veg ₹ 875 per plate"
Shree Raghuvanshi Lohana Mahajan Wadi,"Vadiwadi,, ,, Vadodara, ₹, 400",,"Vadiwadi,,Vadodara₹400",350-550 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Shree-Raghuvanshi-Lohana-Mahajan-Wadi-913341,"No Reviews Vadiwadi, Vadodara Banquet Halls, Convention / Function Halls Veg ₹ 400 per plate Indoor"
Rangoli Restaurant,"Fatehgunj,, ,, Vadodara, ₹, 300, ₹, 425",,"Fatehgunj,,Vadodara₹300₹425",120-350 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Rangoli-Restaurant-725322,"No Reviews Fatehgunj, Vadodara Banquet Halls Veg ₹ 300 per plate Non veg ₹ 425 per plate Indoor"
Hotel Khatti Imly,"Madhavpura,, ,, Vadodara, ₹, 600",,"Madhavpura,,Vadodara₹600",120-250 pax,23 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Hotel-Khatti-Imly-994792,"No Reviews Madhavpura, Vadodara Banquet Halls, 3 Star Hotels with Banquets Veg ₹ 600 per plate"
Vinegar Restaurant & Banquet Hall,"Vadodara, ₹, 249",,Vadodara₹249,140-200 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Vinegar-Restaurant-and-Banquet-Hall-911491,No Reviews Vadodara Banquet Halls Veg ₹ 249 per plate Indoor
Reva Party Plot,"Tarsali,, ,, Vadodara, Price on Request",,"Tarsali,,VadodaraPrice on Request",300-2000 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Reva-Party-Plot-1260082,"No Reviews Tarsali, Vadodara Banquet Halls, Marriage Garden / Lawns Price on Request IndoorOutdoor"
Memories Banquet,"Waghodia,, ,, Vadodara, ₹, 450",,"Waghodia,,Vadodara₹450",120-200 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Memories-Banquet-1014679,"No Reviews Waghodia, Vadodara Banquet Halls Veg ₹ 450 per plate Indoor"
My Recipe Restaurant & Banquet,"Waghodia,, ,, Vadodara, ₹, 250",,"Waghodia,,Vadodara₹250",150-250 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/My-Recipe-Restaurant-and-Banquet-911140,"No Reviews Waghodia, Vadodara Banquet Halls Veg ₹ 250 per plate Indoor"
Chhappanbhog Restaurant and Banquets,"Jetalpur,, ,, Vadodara, Price on Request",,"Jetalpur,,VadodaraPrice on Request",225-350 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Chhappanbhog-Restaurant-and-Banquets-719644,"No Reviews Jetalpur, Vadodara Banquet Halls Price on Request Indoor"
Braj Party Plot,"Vadodara, Price on Request",,VadodaraPrice on Request,150-700 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Braj-Party-Plot-3167371,"No Reviews Vadodara Banquet Halls, Marriage Garden / Lawns Price on Request IndoorOutdoor"
Valam Party Plot,"Harni,, ,, Vadodara, Price on Request",,"Harni,,VadodaraPrice on Request",300-400 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Valam-Party-Plot-2330514,"No Reviews Harni, Vadodara Banquet Halls, Marriage Garden / Lawns Price on Request IndoorOutdoor"
HL Patel Party Plot,"Saiyed Vasna,, ,, Vadodara, ₹, 350",,"Saiyed Vasna,,Vadodara₹350",150-1500 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/HL-Patel-Party-Plot-594225,"No Reviews Saiyed Vasna, Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 350 per plate IndoorOutdoor"
Hotel SR Inn,"Nizampura,, ,, Vadodara, ₹, 250",,"Nizampura,,Vadodara₹250",130-200 pax,31 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Hotel-SR-Inn-911233,"No Reviews Nizampura, Vadodara Banquet Halls, 3 Star Hotels with Banquets Veg ₹ 250 per plate"
The Secret Kitchen,"Vadiwadi,, ,, Vadodara, ₹, 400, ₹, 500",,"Vadiwadi,,Vadodara₹400₹500",150-250 pax,N/A,+3 more,https://www.wedmegood.com/wedding-venues/The-Secret-Kitchen-913376,"No Reviews Vadiwadi, Vadodara Banquet Halls Veg ₹ 400 per plate Non veg ₹ 500 per plate Indoor"
P M Banquets,"Alkapuri,, ,, Vadodara, ₹, 250",,"Alkapuri,,Vadodara₹250",350-700 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/P-M-Banquets-729905,"No Reviews Alkapuri, Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 250 per plate IndoorOutdoor"
Shri Dhandhar Panchal Seva Samaj Wadi,"Vadodara, Price on Request",,VadodaraPrice on Request,300-500 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Shri-Dhandhar-Panchal-Seva-Samaj-Wadi-3208361,"No Reviews Vadodara Banquet Halls, Marriage Garden / Lawns Price on Request IndoorOutdoor"
Leisure Alley Restaurant & Banquet,"Vadodara, Price on Request",,VadodaraPrice on Request,250-350 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Leisure-Alley-Restaurant-and-Banquet-3340036,No Reviews Vadodara Banquet Halls Price on Request Indoor
Vitthal Hall,"Manjalpur,, ,, Vadodara, Price on Request",,"Manjalpur,,VadodaraPrice on Request",120-200 pax,"Banquet Halls, Venues With Rooms",+3 more,https://www.wedmegood.com/wedding-venues/Vitthal-Hall-2307381,"No Reviews Manjalpur, Vadodara Price on Request 2 Rooms"
J D The Business Luxury Hotel,"Sayajiganj,, ,, Vadodara, ₹, 400, ₹, 500",,"Sayajiganj,,Vadodara₹400₹500",70-130 pax,59 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/J-D-The-Business-Luxury-Hotel-916608,"No Reviews Sayajiganj, Vadodara Banquet Halls, 3 Star Hotels with Banquets Veg ₹ 400 per plate Non veg ₹ 500 per plate"
Shree Kanam Pradesh Patidar Seva Samaj,"Navapura,, ,, Vadodara, ₹, 500",,"Navapura,,Vadodara₹500",450-650 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Shree-Kanam-Pradesh-Patidar-Seva-Samaj-999775,"No Reviews Navapura, Vadodara Banquet Halls, Convention / Function Halls Veg ₹ 500 per plate Indoor"
Oak Leaf Restaurant,"New Sama,, ,, Vadodara, ₹, 350",,"New Sama,,Vadodara₹350",220-350 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Oak-Leaf-Restaurant-913425,"No Reviews New Sama, Vadodara Banquet Halls Veg ₹ 350 per plate Indoor"
Govardhan Banquet & Lawns,"Vadodara, ₹, 2,50,000",,"Vadodara₹2,50,000",300-1500 pax,2 Rooms,+4 more,https://www.wedmegood.com/wedding-venues/Govardhan-Banquet-and-Lawns-24826594,"No Reviews Vadodara Banquet Halls, Marriage Garden / Lawns Rental cost ₹ 2,50,000 per function"
Regenta Inn,"Sayajiganj,, ,, Vadodara, ₹, 600, ₹, 700",,"Sayajiganj,,Vadodara₹600₹700",100-600 pax,92 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Regenta-Inn-972721,"No Reviews Sayajiganj, Vadodara Banquet Halls, 3 Star Hotels with Banquets Veg ₹ 600 per plate Non veg ₹ 700 per plate"
Rambagh Party Plot,"Gorwa,, ,, Vadodara, ₹, 500",,"Gorwa,,Vadodara₹500",150-800 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Rambagh-Party-Plot-970951,"No Reviews Gorwa, Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 500 per plate IndoorOutdoor"
Hotel Avista,"Jetalpur,, ,, Vadodara, ₹, 300, ₹, 400",,"Jetalpur,,Vadodara₹300₹400",50-150 pax,32 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Hotel-Avista-913694,"No Reviews Jetalpur, Vadodara Banquet Halls, 3 Star Hotels with Banquets Veg ₹ 300 per plate Non veg ₹ 400 per plate"
Gangotri Party Plot & Marriage Hall,"New Sama,, ,, Vadodara, ₹, 300",,"New Sama,,Vadodara₹300",150-1500 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Gangotri-Party-Plot-and-Marriage-Hall-701370,"No Reviews New Sama, Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 300 per plate IndoorOutdoor"
